NumeroDePasajeros,CanalDeVenta,TipoDeViaje,ClientePotencial,Estadia,HorarioDelVuelo,DiaDelVuelo,Ruta,OrigenReserva,EquipajeExtra,AsientosPreferido,QuiereComidaEnVuelo,DuracionDelVuelo,ReservaCompleta
1,1,2,396,23,9,1,6,61,1,0,1,8,0
2,1,2,280,18,23,5,6,51,1,0,1,8,0
1,1,2,79,23,10,5,6,51,0,0,0,8,0
1,1,2,37,26,21,6,6,61,1,0,0,8,0
2,1,2,69,19,17,2,6,42,1,0,0,8,0
1,1,2,380,21,21,4,6,61,1,1,0,8,0
5,1,2,206,17,13,3,6,51,1,0,0,8,0
1,1,2,13,27,1,6,6,61,1,0,1,8,0
1,1,2,229,31,2,0,6,61,0,0,1,8,0
1,1,2,132,20,9,1,6,81,1,0,0,8,0
4,1,2,121,18,6,3,6,51,1,1,1,8,0
4,1,2,316,22,14,4,6,51,1,0,0,8,1
5,1,2,67,35,2,5,6,51,1,1,1,8,1
1,1,2,419,21,16,3,6,51,1,0,0,8,0
2,1,2,18,46,2,1,6,51,0,0,0,8,0
1,1,2,58,21,12,6,6,99,1,0,1,8,0
2,1,2,115,87,6,6,6,95,0,0,0,8,0
1,1,2,236,91,6,0,6,51,1,0,1,8,0
1,1,2,225,25,6,5,6,28,1,1,0,8,1
1,1,2,116,56,15,4,6,51,1,0,0,8,0
1,1,2,34,90,7,2,6,51,1,1,0,8,0
1,1,2,191,60,11,3,6,28,1,0,1,8,0
1,1,2,55,22,7,2,6,61,1,0,0,8,0
1,0,2,53,180,2,2,6,61,1,0,0,8,0
1,1,2,13,17,3,3,6,61,0,0,0,8,0
1,1,2,275,36,4,6,6,61,1,1,0,8,0
1,1,2,58,17,7,3,6,61,1,0,1,8,0
2,1,2,45,25,1,1,6,61,0,0,0,8,0
2,1,2,417,22,4,3,6,61,1,0,1,8,0
2,1,2,159,21,8,0,6,61,1,0,0,8,0
2,1,2,173,40,8,3,6,61,0,0,0,8,0
2,1,2,92,65,13,1,6,77,1,0,0,8,0
1,1,2,106,208,4,4,6,43,1,0,0,8,0
3,1,2,316,35,16,5,6,51,0,0,0,8,0
2,1,2,245,27,11,1,6,61,0,0,0,8,1
3,1,2,218,21,8,5,6,61,0,0,0,8,0
1,1,2,96,106,1,3,6,61,1,1,1,8,0
1,1,2,67,22,11,1,6,51,0,0,0,8,0
1,1,2,145,204,16,0,6,51,1,1,1,8,0
1,1,2,295,18,6,1,6,51,0,0,0,8,0
1,1,2,57,51,3,6,6,61,1,0,1,8,0
1,0,2,12,20,8,5,6,61,1,0,0,8,0
3,1,2,77,31,0,4,6,61,1,0,0,8,0
2,1,2,7,83,16,5,6,51,1,0,1,8,0
1,0,2,305,18,3,6,6,61,0,0,0,8,0
2,1,2,235,18,22,5,6,51,1,0,1,8,1
1,1,2,332,17,11,2,6,61,0,0,0,8,0
1,1,2,3,35,6,5,6,61,1,0,0,8,0
2,1,2,56,42,4,4,6,51,1,0,1,8,1
2,1,2,125,85,15,4,6,51,1,0,0,8,0
1,1,2,86,21,2,2,6,51,1,0,0,8,0
2,1,2,204,24,6,1,6,61,1,1,0,8,0
1,1,2,310,44,13,5,6,61,1,0,1,8,0
1,1,2,115,20,7,1,6,61,1,0,0,8,0
1,1,2,57,24,12,4,6,61,1,0,0,8,0
4,1,2,368,36,16,3,6,51,0,0,0,8,0
1,1,2,59,37,15,3,6,51,0,0,0,8,0
1,1,2,6,21,21,3,6,61,0,0,0,8,0
3,1,2,67,22,7,6,6,103,1,1,0,8,0
1,1,2,169,22,9,2,6,61,1,0,0,8,0
1,1,2,214,38,12,4,6,51,0,0,0,8,0
1,1,2,5,19,14,4,6,51,1,0,0,8,0
2,1,2,14,17,10,2,6,0,1,0,0,8,1
2,1,2,173,64,14,4,6,51,0,0,0,8,0
1,1,2,7,22,7,1,6,61,1,0,0,8,0
1,1,2,196,86,3,3,6,61,1,0,0,8,0
2,1,2,155,24,7,3,6,61,1,0,0,8,0
1,1,2,245,19,9,2,6,61,0,0,0,8,0
1,0,2,22,82,10,0,6,51,1,1,1,8,1
1,1,2,325,22,4,6,6,51,1,0,0,8,0
1,1,1,6,1,23,3,6,61,1,0,0,8,0
2,1,2,130,18,10,1,6,61,0,0,0,8,0
1,1,2,218,17,2,0,6,51,1,0,1,8,1
1,1,2,189,35,8,3,6,51,1,0,0,8,0
1,1,2,35,41,15,4,6,51,1,1,1,8,0
1,1,2,189,60,8,5,6,61,0,1,1,8,0
4,1,2,226,17,6,3,6,51,1,0,0,8,0
1,1,2,122,30,13,4,6,36,1,0,0,8,0
2,1,2,88,30,8,6,6,51,1,0,1,8,0
4,1,2,211,21,10,0,6,51,1,0,0,8,1
1,1,2,259,82,9,3,6,51,1,0,1,8,1
5,1,2,188,17,12,4,6,51,1,0,1,8,1
1,1,2,129,25,9,1,6,61,1,0,1,8,0
2,1,2,190,69,21,4,6,61,1,0,0,8,0
1,1,2,172,54,8,5,6,51,1,1,1,8,0
1,1,2,149,17,4,1,6,61,1,0,1,8,0
1,1,2,15,28,7,3,6,78,0,0,0,8,1
4,1,2,38,17,4,3,6,51,0,0,0,8,0
1,0,2,8,238,5,0,6,61,1,1,0,8,0
1,1,2,214,23,8,3,6,61,1,1,0,8,0
1,1,2,14,275,3,6,6,80,1,0,1,8,1
2,1,2,9,84,13,0,6,51,1,1,1,8,0
1,1,2,70,20,14,2,6,51,0,0,0,8,0
3,1,2,35,17,3,3,6,51,1,0,1,8,0
4,1,2,53,42,23,2,6,61,1,0,1,8,0
1,1,2,77,28,15,6,6,51,1,1,0,8,0
2,1,2,259,39,21,4,6,61,1,0,1,8,0
1,1,2,106,27,7,3,6,51,0,0,0,8,0
1,1,2,194,86,3,3,6,61,1,0,1,8,0
1,1,2,134,26,15,6,6,51,1,0,0,8,0
1,1,2,3,36,16,3,6,51,0,0,1,8,1
1,1,2,149,17,2,4,6,61,1,0,1,8,0
2,1,2,9,44,8,0,6,51,1,0,1,8,1
1,1,2,37,95,17,5,6,59,1,0,1,8,0
2,1,2,183,34,11,0,6,61,1,0,1,8,0
1,1,2,40,31,5,0,6,61,1,1,1,8,0
1,1,2,95,83,6,6,6,61,0,0,0,8,1
1,1,2,135,24,4,0,6,61,0,0,0,8,0
1,0,2,15,90,13,0,6,28,1,0,1,8,0
1,1,2,222,23,9,2,6,51,0,0,1,8,1
2,1,2,64,29,12,1,6,51,1,0,0,8,1
1,1,2,162,19,8,5,6,61,1,0,0,8,0
1,1,2,22,27,9,3,6,61,0,0,1,8,0
2,1,2,150,31,8,3,6,61,1,0,1,8,0
1,1,2,73,27,12,0,6,61,0,0,0,8,0
3,1,2,133,19,9,2,6,61,0,0,0,8,0
1,1,1,24,1,0,6,6,61,1,0,0,8,0
1,1,2,66,20,14,3,6,51,0,1,1,8,0
3,1,2,89,22,6,2,6,51,1,0,0,8,0
2,1,2,105,91,12,2,6,51,1,1,1,8,0
1,1,2,115,95,9,4,6,61,1,0,0,8,0
1,1,2,151,39,7,3,6,61,1,0,1,8,0
3,1,2,349,18,20,1,6,61,1,1,0,8,0
1,1,2,13,18,9,0,6,51,1,0,1,8,1
2,1,2,29,20,1,0,6,61,0,0,0,8,0
1,0,2,69,28,14,4,6,51,1,1,1,8,0
5,1,2,206,17,13,3,6,51,1,0,0,8,0
1,1,2,6,21,3,0,6,51,1,0,0,8,0
2,0,2,23,31,4,1,6,37,1,0,0,8,0
1,1,2,197,19,3,1,6,61,0,0,0,8,1
2,1,2,368,65,2,3,6,51,1,0,1,8,1
1,1,2,25,19,6,0,6,51,1,1,0,8,0
1,1,2,189,33,11,0,6,74,1,1,1,8,1
1,0,2,123,70,22,5,6,51,0,0,0,8,0
2,1,2,298,22,7,5,6,51,1,0,0,8,0
1,1,2,89,24,9,3,6,61,1,0,0,8,0
1,1,2,241,125,11,6,6,61,1,0,1,8,0
2,0,2,195,27,2,6,6,61,1,1,1,8,0
1,0,2,84,18,9,6,6,51,0,0,0,8,0
1,1,2,410,25,13,2,6,28,1,1,0,8,1
3,1,2,95,24,8,5,6,61,1,1,1,8,1
1,1,2,122,54,5,4,6,34,0,0,1,8,0
2,1,2,216,26,9,3,6,61,0,0,0,8,0
1,1,2,89,20,23,6,6,61,1,0,0,8,0
1,1,2,111,42,7,1,6,43,1,0,0,8,1
1,1,2,11,39,7,2,6,51,1,0,0,8,0
3,1,2,174,17,3,6,6,61,1,0,0,8,0
2,0,2,162,18,4,4,6,51,0,0,0,8,1
2,1,1,139,1,8,0,6,61,1,0,0,8,0
1,1,2,19,93,3,1,6,61,1,1,1,8,0
1,1,2,110,18,15,4,6,61,0,0,0,8,0
2,1,2,9,54,7,4,6,51,1,0,1,8,1
1,0,2,47,28,15,3,6,51,1,0,0,8,0
6,0,2,349,21,5,3,6,51,1,0,0,8,0
2,1,2,109,21,17,3,6,51,1,1,1,8,1
1,1,2,0,23,5,5,6,51,0,0,0,8,0
4,1,2,38,21,0,1,6,51,1,0,1,8,0
1,1,2,58,28,8,6,6,61,0,0,1,8,0
4,1,2,192,20,6,3,6,51,1,0,1,8,1
4,0,2,210,21,4,3,6,51,1,0,0,8,0
2,1,2,326,22,12,3,6,51,0,0,0,8,1
2,1,2,13,17,10,5,6,51,1,1,1,8,0
2,1,2,240,64,14,6,6,51,0,1,0,8,0
1,1,2,39,21,7,1,6,61,0,0,0,8,0
1,1,2,23,35,8,3,6,37,0,0,0,8,0
5,1,1,198,34,14,1,6,34,1,1,1,8,0
1,1,2,75,30,10,5,6,93,1,0,0,8,0
1,1,2,54,20,8,1,6,61,1,0,1,8,0
1,1,2,32,41,1,3,6,61,0,0,0,8,0
2,1,2,101,34,17,4,6,90,1,0,0,8,0
2,1,2,294,49,16,5,6,43,1,0,0,8,0
1,1,2,304,59,0,6,6,61,1,0,1,8,0
3,1,2,32,23,15,6,6,51,1,0,0,8,1
2,0,2,160,24,22,6,6,61,1,0,0,8,0
3,1,2,363,18,2,1,6,51,1,1,1,8,0
1,1,2,214,31,9,3,6,51,1,0,0,8,0
1,1,2,162,18,11,5,6,51,1,0,0,8,1
5,1,2,97,21,10,6,6,51,1,1,0,8,1
2,1,2,71,30,6,1,6,61,1,1,0,8,1
2,1,2,231,17,15,5,6,51,1,1,1,8,0
2,1,2,163,35,12,0,6,51,1,0,1,8,1
1,1,2,62,21,3,4,6,51,1,1,0,8,0
1,1,2,1,18,5,5,6,61,1,0,0,8,0
1,1,2,314,19,8,6,6,61,0,1,0,8,0
2,1,2,178,69,9,0,6,51,1,0,0,8,0
1,1,2,253,107,10,6,6,61,0,0,0,8,0
2,1,2,81,43,6,4,6,61,1,0,1,8,0
1,1,2,30,85,15,0,6,51,1,0,0,8,1
1,1,2,120,20,12,0,6,61,1,0,1,8,0
1,1,2,25,19,3,6,6,51,1,0,1,8,0
1,1,2,62,30,7,4,6,51,1,0,1,8,0
1,1,2,58,17,6,6,6,61,1,1,0,8,0
4,1,2,268,18,13,5,6,71,1,0,1,8,0
2,1,2,199,27,8,0,6,61,1,0,0,8,0
5,1,2,206,17,13,3,6,51,1,0,0,8,0
2,1,2,159,29,21,3,6,61,1,1,1,8,0
1,1,2,171,35,8,6,6,61,1,0,1,8,0
1,1,2,6,18,6,5,6,51,1,0,1,8,1
1,1,2,269,29,9,3,6,61,1,0,0,8,0
1,1,2,13,22,17,2,6,100,1,0,1,8,0
1,1,2,301,121,15,3,6,51,0,1,0,8,0
1,1,2,301,34,0,2,6,61,1,0,0,8,0
1,1,2,72,26,13,6,6,51,1,0,1,8,0
2,1,2,224,18,16,5,6,51,1,0,1,8,0
3,1,2,269,17,1,0,6,51,1,1,1,8,0
2,1,2,246,24,4,2,6,51,0,0,0,8,0
1,0,2,44,19,7,3,6,51,1,0,0,8,0
1,0,2,32,60,2,6,6,51,1,0,0,8,0
2,1,2,198,20,5,1,6,51,1,0,0,8,0
2,1,2,94,22,15,0,6,51,1,0,1,8,0
1,1,2,265,59,10,5,6,61,1,0,0,8,0
2,1,2,229,20,7,4,6,61,1,0,1,8,0
2,1,2,282,18,16,2,6,51,1,1,0,8,0
1,1,2,32,48,12,1,6,87,0,0,0,8,0
2,1,2,113,47,17,2,6,51,1,1,1,8,0
1,0,2,96,20,3,5,6,61,1,1,1,8,0
1,1,2,66,203,7,6,6,51,0,0,0,8,1
1,1,2,49,40,17,0,6,51,0,0,0,8,0
1,1,2,3,49,11,5,6,61,1,1,1,8,0
2,1,2,254,30,8,0,6,61,1,0,0,8,0
1,1,2,192,61,3,1,6,61,0,1,1,8,0
1,1,2,186,19,15,3,6,51,0,0,0,8,1
2,1,2,296,37,6,2,6,61,1,0,1,8,0
2,1,2,74,31,7,6,6,51,1,1,0,8,0
1,1,2,283,56,9,1,6,61,1,0,0,8,0
1,1,2,29,48,12,0,6,51,1,0,0,8,0
1,1,2,8,188,6,3,6,61,1,1,0,8,0
1,0,2,55,20,7,2,6,51,1,1,1,8,0
1,1,2,231,89,11,3,6,51,0,0,1,8,0
2,1,2,250,30,12,6,6,80,1,1,1,8,1
2,1,2,132,19,8,1,6,61,1,0,0,8,0
1,1,2,123,78,15,0,6,28,1,0,0,8,0
2,1,2,54,209,12,6,6,51,1,0,0,8,0
2,1,2,156,22,8,6,6,51,1,0,0,8,0
1,1,2,26,126,7,5,6,43,1,0,0,8,0
1,1,2,285,20,14,6,6,51,1,1,0,8,1
5,1,2,343,43,4,4,6,61,1,0,0,8,0
1,1,2,218,27,6,1,6,51,0,0,1,8,0
2,1,2,347,21,4,1,6,61,1,0,0,8,0
1,1,2,363,31,16,3,6,51,1,0,1,8,0
4,1,2,346,35,9,6,6,61,1,1,0,8,0
1,1,2,61,41,16,3,6,51,1,0,0,8,0
1,1,2,87,23,8,5,6,61,0,1,1,8,0
1,1,2,352,20,1,3,6,51,1,1,1,8,0
1,1,2,77,35,7,1,6,51,0,0,1,8,0
2,1,2,255,33,10,2,6,51,1,0,0,8,0
2,1,2,139,21,17,6,6,27,0,0,0,8,1
1,1,2,280,80,8,1,6,51,1,0,0,8,0
2,1,2,123,29,21,4,6,61,0,0,0,8,0
1,1,2,11,30,5,1,6,51,0,0,0,8,0
6,1,2,23,17,12,5,6,61,1,0,0,8,0
1,1,2,269,20,6,5,6,51,1,0,0,8,0
1,1,2,14,200,19,0,6,61,1,0,0,8,0
1,1,2,267,91,7,5,6,61,1,0,0,8,0
1,1,2,213,28,20,5,6,28,1,0,0,8,0
1,1,2,237,21,5,6,6,100,0,0,0,8,1
1,1,2,191,17,14,6,6,19,0,0,0,8,0
1,1,2,10,61,9,0,6,51,1,0,1,8,0
1,1,2,244,30,3,6,6,51,1,0,1,8,1
2,1,2,224,18,15,3,6,28,0,0,0,8,0
3,1,2,109,20,4,5,6,80,1,0,1,8,0
2,1,2,265,37,10,4,6,61,1,0,0,8,0
2,1,2,75,21,9,2,6,51,0,0,0,8,1
1,1,2,119,21,22,3,6,51,0,1,0,8,0
1,1,2,50,17,10,6,6,51,1,1,1,8,1
1,1,2,130,28,22,5,6,61,1,1,1,8,0
1,1,2,30,85,15,0,6,51,1,0,0,8,1
1,1,2,153,20,13,6,6,71,0,0,0,8,0
2,1,2,74,22,13,6,6,51,1,1,1,8,0
1,1,2,27,62,13,5,6,51,1,0,1,8,0
1,0,2,121,19,10,5,6,51,1,0,0,8,1
1,1,2,18,27,5,6,6,61,1,1,1,8,0
1,1,2,293,44,2,6,6,51,0,0,0,8,0
1,1,2,207,78,15,0,6,51,1,1,1,8,0
1,0,2,280,35,2,3,6,51,1,1,1,8,1
2,1,2,82,18,11,5,6,61,0,0,1,8,0
1,1,2,86,29,3,0,6,51,0,0,0,8,0
1,1,2,252,25,9,5,6,51,0,0,0,8,1
1,1,2,40,17,20,0,6,100,1,0,1,8,0
5,1,2,81,17,14,4,6,51,1,1,1,8,0
1,1,2,11,30,6,5,6,61,1,0,0,8,0
1,1,2,254,60,20,5,6,100,0,0,0,8,0
1,1,2,60,18,9,1,6,51,1,0,1,8,1
2,1,2,8,25,6,2,6,51,1,0,0,8,0
1,1,2,7,68,5,1,6,51,1,0,1,8,0
3,1,2,92,34,11,1,6,61,1,0,0,8,0
1,1,2,77,31,1,6,6,61,1,0,0,8,0
2,1,2,358,27,7,2,6,61,1,0,1,8,0
1,1,2,42,17,11,2,6,61,0,0,1,8,0
5,1,2,301,34,10,3,6,61,1,0,0,8,0
1,0,2,269,20,6,3,6,51,0,0,0,8,0
1,1,2,161,56,10,0,6,61,1,0,1,8,0
2,1,2,182,31,6,1,6,61,1,0,1,8,0
1,1,2,27,20,8,2,6,51,1,1,0,8,0
4,0,2,292,22,5,6,6,51,1,0,1,8,0
2,1,2,35,255,1,6,6,61,1,0,0,8,1
2,1,2,95,26,7,0,6,61,1,0,1,8,0
1,1,2,34,28,8,2,6,51,1,0,0,8,0
